Kategorie;Headline;Subline;Pflege;
Bekleidung;Bio-Baumwolle;Aus reiner Bio-Baumwolle - weich, atmungsaktiv und angenehm auf der Haut. ;;
Bekleidung;Regenerative Organic Cotton;Mit Regenerative Organic Cotton (ROC) aus einem Sozialprojekt in Indien.;;
Bekleidung;Fleece;Weich, wärmend und atmungsaktiv. Aus reinen Naturfasern.;Pflegeleicht: Regeneriert beim Lüften über Nacht
Bekleidung;Softfleece;Weich, wärmend und atmungsaktiv. Aus reinen Naturfasern.;;
Bekleidung;Wollfleece;Wollfleece mit Bio-Baumwoll-Futter — speichert die Körperwärme, ohne zu überhitzen.;;
Bekleidung;Denim;Aus Bio-Baumwolle. Hergestellt in umweltschonenden Verfahren.;Bügelfrei;
Bekleidung;Leinen;Angenehm kühles Leinen-Gefühl. Atmungsaktiv und luftig. ;Besonders pflegeleicht;
Bekleidung;Musselin;Atmungsaktive 100% Bio-Baumwolle - besonders weich, hautfreundlich und schnelltrocknend.;;
Bekleidung;Alpaka ;Für besonders flauschige Lieblinge, die extra leicht auf der Haut liegen.;;
Bekleidung;Cashmere;Leicht und wärmend zugleich - mit luxuriösem Tragegefühl. ;;
Bekleidung;Rhönwolle;Zuverlässig wärmend, besonders robust und wasserabperlend.;;
Bekleidung;Schurwolle;Herrliche Wollwärme - atmungsaktiv und pflegeleicht.;;
Bekleidung;Wollwalk;Aus 100% Merinowolle. ;;
Bekleidung;TENCEL™ Lyocell;Anschmiegsam, atmungsaktiv und hautfreundlich - TENCEL™ Lyocell aus Österreich.;;
Bekleidung;Merinowolle;Besonders fein, besonders weich - Bio-Merinowolle vom Merinoschaf. ;;
Bekleidung;Wollfrottee;Aus reiner Bio-Merinowolle. Hält warm, ohne zu überhitzen und nimmt Feuchtigkeit gut auf. ;;
Home/Bettwäsche;Renforcé;Aus purer Bio-Baumwolle - hautsymphatisch und kontrolliert biologisch angebaut.;;
Home/Bettwäsche;Musselin;Bio-Musselin: locker gewebt, soft, pflegeleicht und hautfreundlich. ;;
Home/Bettwäsche;Perkal;Aus purer Bio-Baumwolle. Langlebig, atmungsaktiv und pflegeleicht;;
Home/Bettwäsche;Satin;Aus purer Bio-Baumwolle. Kühlend und glatt.;;
Home/Bettwäsche;Leinen;Angenehm kühles Leinen-Gefühl. Atmungsaktiv, luftig und temperaturausgleichend.;;
